,,,Latest District Wise Statistics of Voters,,,,,,


S #,Province,District,,Male,,Female,,Total,
1,ICT,ISLAMABAD,,605031,52.41%,549440,47.59%,1154471,
2,Balochistan,AWARAN,,51377,54.92%,42177,45.08%,93554,
3,Balochistan,BARKHAN,,43988,53.39%,38404,46.61%,82392,
4,Balochistan,CHAGAI,,71607,57.07%,53870,42.93%,125477,
5,Balochistan,CHAMAN,,128341,64.90%,69411,35.10%,197752,
6,Balochistan,DERA BUGTI,,78536,55.61%,62701,44.39%,141237,
7,Balochistan,DUKKI,,37359,56.87%,28337,43.13%,65696,
8,Balochistan,GWADAR,,76272,53.70%,65758,46.30%,142030,
9,Balochistan,HARNAI,,25927,54.86%,21329,45.14%,47256,
10,Balochistan,HUB,,80272,55.83%,63509,44.17%,143781,
11,Balochistan,JAFFARABAD,,75123,53.37%,65629,46.63%,140752,
12,Balochistan,JHAL MAGSI,,41922,55.14%,34110,44.86%,76032,
13,Balochistan,KACHHI,,85652,56.82%,65094,43.18%,150746,
14,Balochistan,KALAT,,61308,55.92%,48331,44.08%,109639,
15,Balochistan,KECH,,149717,54.70%,123969,45.30%,273686,
16,Balochistan,KHARAN,,36875,53.41%,32167,46.59%,69042,
17,Balochistan,KHUZDAR,,168136,54.75%,138942,45.25%,307078,
18,Balochistan,KILLA ABDULLAH,,107160,63.58%,61380,36.42%,168540,
19,Balochistan,KILLA SAIFULLAH,,70876,54.76%,58554,45.24%,129430,
20,Balochistan,KOHLU,,46208,58.81%,32367,41.19%,78575,
21,Balochistan,LASBELA,,77135,54.69%,63900,45.31%,141035,
22,Balochistan,LORALAI,,68850,56.64%,52716,43.36%,121566,
23,Balochistan,MASTUNG,,77683,55.47%,62358,44.53%,140041,
24,Balochistan,MUSAKHEL,,43042,56.14%,33627,43.86%,76669,
25,Balochistan,NASIRABAD,,130489,53.16%,114972,46.84%,245461,
26,Balochistan,NUSHKI,,62054,56.17%,48420,43.83%,110474,
27,Balochistan,PANJGUR,,69250,54.62%,57543,45.38%,126793,
28,Balochistan,PISHIN,,187714,57.99%,135990,42.01%,323704,
29,Balochistan,QUETTA,,498204,57.07%,374710,42.93%,872914,
30,Balochistan,SHERANI,,27675,56.65%,21174,43.35%,48849,
31,Balochistan,SIBI,,64018,55.29%,51761,44.71%,115779,
32,Balochistan,SOHBATPUR,,60790,51.27%,57785,48.73%,118575,
33,Balochistan,SURAB,,33570,54.14%,28437,45.86%,62007,
34,Balochistan,USTA MUHAMMAD,,76405,51.81%,71077,48.19%,147482,
35,Balochistan,WASHUK,,35912,52.87%,32007,47.13%,67919,
36,Balochistan,ZHOB,,86896,57.17%,65098,42.83%,151994,
37,Balochistan,ZIARAT,,43792,54.23%,36961,45.77%,80753,
38,Khyber Pakhtun,ABBOTTABAD,,508431,52.53%,459482,47.47%,967913,
39,Khyber Pakhtun,BAJAUR,,374245,54.91%,307350,45.09%,681595,
40,Khyber Pakhtun,BANNU,,399003,54.27%,336252,45.73%,735255,
41,Khyber Pakhtun,BATAGRAM,,183415,54.46%,153396,45.54%,336811,
42,Khyber Pakhtun,BUNER,,307610,53.77%,264487,46.23%,572097,
43,Khyber Pakhtun,CHARSADDA,,597516,54.79%,493055,45.21%,1090571,
44,Khyber Pakhtun,CHITRAL LOWER,,101028,54.27%,85132,45.73%,186160,
45,Khyber Pakhtun,CHITRAL UPPER,,69334,53.42%,60450,46.58%,129784,

,,,Latest District Wise Statistics of Voters,,,,,,


S #,Province,District,,Male,,Female,,Total,
46,Khyber Pakhtun,D. I. KHAN,,483873,53.95%,413044,46.05%,896917,
47,Khyber Pakhtun,HANGU,,186596,55.70%,148423,44.30%,335019,
48,Khyber Pakhtun,HARIPUR,,386300,52.26%,352951,47.74%,739251,
49,Khyber Pakhtun,KARAK,,264556,52.99%,234681,47.01%,499237,
50,Khyber Pakhtun,KHYBER,,358520,54.85%,295152,45.15%,653672,
51,Khyber Pakhtun,KOHAT,,367468,53.97%,313367,46.03%,680835,
52,Khyber Pakhtun,KOHISTAN LOWER,,40530,52.44%,36754,47.56%,77284,
53,Khyber Pakhtun,KOHISTAN UPPER,,41024,53.26%,36008,46.74%,77032,
54,Khyber Pakhtun,KOLAI PALLAS,,23534,53.60%,20374,46.40%,43908,
55,Khyber Pakhtun,KURRAM,,233070,54.93%,191233,45.07%,424303,
56,Khyber Pakhtun,LAKKI MARWAT,,280760,53.76%,241448,46.24%,522208,
57,Khyber Pakhtun,LOWER DIR,,494756,55.23%,400987,44.77%,895743,
58,Khyber Pakhtun,MALAKAND,,260382,54.26%,219528,45.74%,479910,
59,Khyber Pakhtun,MANSEHRA,,603030,53.27%,528999,46.73%,1132029,
60,Khyber Pakhtun,MARDAN,,855915,54.67%,709740,45.33%,1565655,
61,Khyber Pakhtun,MOHMAND,,212768,57.47%,157478,42.53%,370246,
